1741224446.048572311 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224475.299312351 64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=105 ms
1741224475.429703995 64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=130 ms
1741224475.541110254 64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=137 ms
1741224475.659894662 64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=156 ms
1741224475.734741180 64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=130 ms
1741224475.850000516 64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=142 ms
1741224475.966128870 64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=152 ms
1741224476.052012611 64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=140 ms
1741224476.147258542 64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=135 ms
1741224476.248439594 64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=134 ms
1741224476.362673910 64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=143 ms
1741224476.457413830 64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=137 ms
