1741225446.315579354 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225473.370430896 64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=107 ms
1741225473.766940935 64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=92.4 ms
1741225473.853255685 64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=74.4 ms
1741225474.061245901 64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=82.1 ms
1741225474.207159860 64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=23.9 ms
1741225474.304762839 64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=23.1 ms
1741225474.557364961 64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=72.6 ms
1741225474.630310440 64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=42.3 ms
1741225474.718256223 64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=29.7 ms
1741225474.919426301 64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=24.9 ms
1741225475.026673475 64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=30.7 ms
1741225475.123866446 64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=27.4 ms
1741225475.441819892 64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=39.4 ms
1741225475.557515239 64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=50.7 ms
1741225475.688086886 64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=79.9 ms
1741225475.783491820 64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=75.4 ms
1741225475.852145213 64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=46.3 ms
1741225475.969713596 64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=60.5 ms
1741225476.060046427 64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=47.1 ms
1741225476.132349893 64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=22.9 ms
1741225476.351003327 64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=36.5 ms
1741225476.459580529 64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=41.2 ms
1741225476.782438075 64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=61.0 ms
1741225476.848116407 64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=24.5 ms
1741225476.952426522 64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=27.8 ms
1741225477.058260668 64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=33.3 ms
1741225477.151602560 64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=25.9 ms
1741225477.254327643 64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=24.2 ms
1741225477.455503722 64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=22.0 ms
1741225477.564254927 64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=30.2 ms
1741225477.660137871 64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=23.5 ms
1741225477.766322023 64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=28.4 ms
1741225477.954321835 64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=115 ms
1741225478.067632132 64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=127 ms
1741225478.135815514 64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=92.1 ms
1741225478.230335431 64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=88.2 ms
1741225478.304763940 64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=62.0 ms
1741225478.508007060 64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=57.8 ms
1741225478.630660547 64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=78.6 ms
1741225478.743046826 64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=89.1 ms
1741225478.818686359 64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=63.0 ms
1741225478.890378813 64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=32.9 ms
1741225479.020939460 64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=63.0 ms
1741225479.092338908 64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=35.7 ms
1741225479.217685450 64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=57.1 ms
1741225479.305473229 64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=42.2 ms
1741225479.401334173 64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=39.6 ms
1741225479.523538651 64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=61.1 ms
1741225479.635690925 64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=72.7 ms
1741225479.710746447 64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=45.3 ms
1741225479.929329879 64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=59.3 ms
1741225480.018239681 64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=47.3 ms
1741225480.126835883 64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=52.3 ms
1741225480.258078544 64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=80.4 ms
1741225480.483923123 64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=102 ms
1741225480.586788209 64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=106 ms
1741225480.760497730 64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=75.3 ms
1741225480.870147954 64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=84.7 ms
1741225480.933405236 64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=49.6 ms
1741225481.043521468 64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=55.4 ms
1741225481.109754811 64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=23.0 ms
1741225481.253436724 64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=64.2 ms
1741225481.421724137 64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=24.1 ms
1741225481.521147153 64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=24.6 ms
1741225481.751587825 64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=49.1 ms
1741225481.826031334 64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=21.9 ms
